        1020       35740        2340           0        2000          74
        3120        1840        4440        2100        4100         137
        5320        4040        6640        4300        6300          12
        7420        6140        8740        6400        8400          22
        9520        8240       10840        8500       10500           0
       11720       10440       13040       10700       12700          55
       13820       12540       15140       12800       14800         111
       15920       14640       17240       14900       16900         149
       18020       16740       19340       17000       19000         479
       20220       18940       21540       19200       21200         123
       22320       21040       23640       21300       23300         107
       24420       23140       25740       23400       25400          46
       26620       25240       27940       25600       27600          16
       28720       27440       30040       27700       29700           0
       30820       29540       32140       29800       31800          13
       32920       31640       34240       31900       33900          24
       35120       33840         440       34100         100          83
        2060       32280        7780         640        3340           1
        6060         280       11780        4640        7340           1
       10060        4280       15780        8640       11340          56
       14060        8280       19780       12640       15340         155
       18060       12280       23780       16640       19340         237
       22060       16280       27780       20640       23340         147
       26060       20280       31780       24640       27340          34
       30060       24280       35780       28640       31340           3
       34060       28280        3780       32640       35340           0
