        1020       35740        2340           0        2000          74      189937       67713      122224       1
        3120        1840        4440        2100        4100         137      181615       64876      116739       1
        5320        4040        6640        4300        6300          12      188124       66214      121910       1
        7420        6140        8740        6400        8400          22      313588      129743      183845       1
        9520        8240       10840        8500       10500           0      603997      317743      286254       3
       11720       10440       13040       10700       12700          55      331121      194178      136943       1
       13820       12540       15140       12800       14800         111      154605       82555       72050       1
       15920       14640       17240       14900       16900         149      111318       59282       52036       1
       18020       16740       19340       17000       19000         479      101861       52758       49103       1
       20220       18940       21540       19200       21200         123      103339       52680       50659       1
       22320       21040       23640       21300       23300         107      117885       63150       54735       1
       24420       23140       25740       23400       25400          46      164924       89439       75485       1
       26620       25240       27940       25600       27600          16      352252      202088      150164       1
       28720       27440       30040       27700       29700           0      997650      482873      514777       3
       30820       29540       32140       29800       31800          13      843238      300964      542274       3
       32920       31640       34240       31900       33900          24      374833      130445      244388       1
       35120       33840         440       34100         100          83      225145       79341      145804       1
        2060       32280        7780         640        3340           1      509876      276034      233842       2
        6060         280       11780        4640        7340           1      389087      219705      169382       1
       10060        4280       15780        8640       11340          56      287273      158027      129246       1
       14060        8280       19780       12640       15340         155      159708       71519       88189       1
       18060       12280       23780       16640       19340         237      134247       55375       78872       1
       22060       16280       27780       20640       23340         147      149040       61114       87926       1
       26060       20280       31780       24640       27340          34      230604      111607      118997       1
       30060       24280       35780       28640       31340           3      525736      363965      161771       2
       34060       28280        3780       32640       35340           0      639611      424158      215453       2
